20,10,1651.70500
20,50,2778.12500
20,100,3116.64500
20,200,4064.80000
20,300,4169.45000
20,400,4313.46500
20,500,4730.99500
20,600,5105.09500
20,700,4853.43000
20,800,5353.59500
20,900,5588.90500
20,1000,4980.55500
20,2000,5478.06500
20,4000,5932.51500
20,7000,7355.77500
20,10000,7690.48000
20,20000,7228.50000
20,30000,7817.18000
20,50000,8431.75500
20,100000,8745.04500
20,200000,8907.60500
50,10,1742.84200
50,50,2744.13800
50,100,3179.67400
50,200,3785.22600
50,300,3895.81800
50,400,4783.60800
50,500,5283.48000
50,600,5713.80000
50,700,5087.45400
50,800,4840.44400
50,900,5642.41400
50,1000,6122.60800
50,2000,7176.89000
50,4000,7990.52200
50,7000,8731.64400
50,10000,8455.11800
50,20000,9711.40400
50,30000,8983.14000
50,50000,8017.62200
50,100000,10979.30600
50,200000,11544.03800
70,10,2140.50286
70,50,3130.70571
70,100,3154.05429
70,200,3763.47714
70,300,4023.16000
70,400,4332.84429
70,500,4443.78714
70,600,4639.21429
70,700,5091.45714
70,800,5994.20429
70,900,6046.80429
70,1000,6220.09000
70,2000,6996.47000
70,4000,7768.29143
70,7000,7944.38714
70,10000,6816.34714
70,20000,9288.26286
70,30000,9512.90286
70,50000,10330.28714
70,100000,10004.52857
70,200000,9170.37857
100,10,1547.20500
100,50,2661.23400
100,100,3176.50400
100,200,4549.07200
100,300,4729.27100
100,400,4760.30200
100,500,5744.62800
100,600,5022.84500
100,700,5163.29400
100,800,6313.18400
100,900,5750.01900
100,1000,6296.80700
100,2000,7026.28700
100,4000,6354.09700
100,7000,6651.55800
100,10000,6729.05500
100,20000,7814.12800
100,30000,8906.47100
100,50000,8928.83600
100,100000,11046.30700
100,200000,11642.54800
