20,10,64.04500
20,20,574.14500
20,30,1877.82500
20,40,1836.87000
20,50,5439.36000
20,60,5229.07500
20,70,17525.83500
20,80,17162.01500
20,90,16839.65000
20,100,49027.70000
50,10,66.87600
50,20,682.79800
50,30,1908.78400
50,40,1853.14200
50,50,4990.11800
50,60,4785.87000
50,70,13966.20800
50,80,16335.98200
50,90,14125.52000
50,100,42088.89600
70,10,68.32429
70,20,722.48429
70,30,2072.78429
70,40,1860.39714
70,50,4848.12429
70,60,4732.69286
70,70,15796.72000
70,80,15518.41429
70,90,15521.13286
70,100,43850.47429
100,10,63.55500
100,20,590.91200
100,30,1656.06900
100,40,1656.93100
100,50,4664.53500
100,60,4702.08600
100,70,16029.16400
100,80,14433.85000
100,90,13975.22500
100,100,44031.11600
