20,10,1.64500
20,50,4.50500
20,100,7.18500
20,200,12.97000
20,500,87.56500
20,1000,76.01500
20,2000,185.06000
20,5000,461.03500
20,10000,810.53000
50,10,1.02400
50,50,4.39600
50,100,7.18000
50,200,17.95800
50,500,48.88200
50,1000,98.37000
50,2000,199.54000
50,5000,538.47600
50,10000,1072.58000
70,10,0.96571
70,50,3.09286
70,100,8.11000
70,200,16.26857
70,500,53.24857
70,1000,82.66143
70,2000,158.07000
70,5000,475.11143
70,10000,937.15571
100,10,1.05900
100,50,5.22900
100,100,8.23600
100,200,15.30300
100,500,49.13300
100,1000,78.34800
100,2000,220.92200
100,5000,487.61400
100,10000,915.02800
