100,10,1847.52600
100,50,2758.76400
100,100,3461.51200
100,200,3853.74900
100,300,4242.57400
100,400,4462.77200
100,500,4727.17100
100,600,4811.50700
100,700,4850.69700
100,800,5066.95300
100,900,5195.48400
100,1000,5104.63400
100,2000,5750.42800
100,4000,6484.09300
100,7000,6839.34400
100,10000,7006.58200
100,20000,7809.49500
100,30000,7873.53300
100,50000,8346.68100
100,100000,9095.98700
100,200000,9658.85400
500,10,1758.98360
500,50,2853.39680
500,100,3402.23480
500,200,3927.06700
500,300,4182.59780
500,400,4382.75840
500,500,4514.40100
500,600,4773.43140
500,700,4915.90500
500,800,5062.50220
500,900,5121.96880
500,1000,5216.79980
500,2000,5748.91320
500,4000,6241.33540
500,7000,6725.60100
500,10000,7163.58040
500,20000,7712.74300
500,30000,8003.68300
500,50000,8472.19960
500,100000,8953.63940
500,200000,9557.85160
1000,10,1766.19510
1000,50,2834.39520
1000,100,3351.67820
